198101	18.2363	504100
198101	18.1796	504108
198102	24.9045	504100
198102	25.1026	504108
198103	59.7726	504100
198103	60.1306	504108
198104	77.7055	504100
198104	77.7634	504108
198105	174.065	504100
198105	174.253	504108
198106	154.796	504100
198106	154.838	504108
198107	163.792	504100
198107	163.95	504108
198108	92.3275	504100
198108	92.3178	504108
198109	178.836	504100
198109	178.773	504108
198110	108.472	504100
198110	108.627	504108
198111	9.57257	504100
198111	9.62228	504108
198112	175.617	504100
198112	176.468	504108
198201	31.5857	504100
198201	31.6705	504108
198202	27.1418	504100
198202	27.1287	504108
198203	66.8302	504100
198203	67.0494	504108
198204	25.9944	504100
198204	26.0681	504108
198205	185.7	504100
198205	186.1	504108
198206	151.971	504100
198206	151.966	504108
198207	104.713	504100
198207	103.9	504108
198208	131.931	504100
198208	132.13	504108
198209	79.9371	504100
198209	80.0941	504108
198210	188.003	504100
198210	188.455	504108
198211	145.733	504100
198211	146.936	504108
198212	140.26	504100
198212	141.627	504108
198301	20.9834	504100
198301	20.9432	504108
198302	52.4909	504100
198302	52.8314	504108
198303	81.2566	504100
198303	81.2893	504108
198304	53.7283	504100
198304	53.6391	504108
198305	142.396	504100
198305	142.647	504108
198306	103.854	504100
198306	103.551	504108
198307	45.2204	504100
198307	45.1309	504108
198308	112.254	504100
198308	112.44	504108
198309	183.568	504100
198309	184.327	504108
198310	104.02	504100
198310	104.048	504108
198311	20.6722	504100
198311	20.6973	504108
198312	154.475	504100
198312	155.485	504108
198401	67.2579	504100
198401	67.7443	504108
198402	121.996	504100
198402	122.46	504108
198403	73.9366	504100
198403	74.4878	504108
198404	105.537	504100
198404	105.886	504108
198405	159.947	504100
198405	160.266	504108
198406	82.1558	504100
198406	82.2312	504108
198407	90.8881	504100
198407	90.7511	504108
198408	132.051	504100
198408	132.159	504108
198409	188.747	504100
198409	189.213	504108
198410	142.619	504100
198410	142.694	504108
198411	45.7763	504100
198411	46.1143	504108
198412	78.6046	504100
198412	79.2174	504108
198501	107.788	504100
198501	108.43	504108
198502	17.9941	504100
198502	18.0688	504108
198503	150.416	504100
198503	151.161	504108
198504	142.777	504100
198504	143.165	504108
198505	130.676	504100
198505	131.178	504108
198506	234.641	504100
198506	234.61	504108
198507	104.572	504100
198507	104.399	504108
198508	169.495	504100
198508	169.465	504108
198509	28.6957	504100
198509	28.8742	504108
198510	28.8591	504100
198510	28.9195	504108
198511	145.258	504100
198511	146.043	504108
