plotId treeId species year d bmLeaf bmBranch bmStem bmCoarseRoot bmFineRoot bmStump bmSeed bmBark
504100 1 AbAl 2010 16.9712 1333.18221145862 221.691137124477 0 318.751271634686 1999.76914578796 0 133.317943052531 395.964858412608
504100 1 AbAl 2011 17.544 1295.23690550235 218.451653351548 0 325.085975540906 1942.85535825353 0 129.523690550235 400.754685683584
504100 1 AbAl 2012 18.1168 1286.76707052272 220.017367001303 0 338.459343663638 1930.1567175304 0 128.676707052272 414.220489947142
504100 1 AbAl 2013 18.6895 1307.47090217893 226.542182030215 0 359.838653445843 1961.21229172914 0 130.747684063967 437.358132316094
504100 1 AbAl 2014 19.2623 1357.10852018382 238.182406781477 0 390.222846269522 2035.66278027573 0 135.710852018382 471.183253100951
504100 1 AbAl 2015 19.8351 1435.51986685735 255.106660390868 0 430.648779465956 2153.28578411206 0 143.552585068338 516.757232938447
504100 1 AbAl 2016 20.4474 2360.60378558562 1607.51873876495 0 372.429002294841 2153.78840754 0 132.02658324568 444.064255596973
504100 1 AbAl 2017 21.0649 2139.31731409386 1645.30038756857 0 296.045023530437 1759.1687059154 0 105.196516561291 350.838633077023
504100 1 AbAl 2018 21.6823 1746.86202061832 1467.90954218318 0 215.873678206394 1316.80945317307 0 76.9249337302514 254.348647854777
504100 1 AbAl 2019 22.2997 1344.50467251214 1263.93746208346 0 133.477714373699 880.541469566616 0 49.2343018110944 156.398215876997
504100 1 AbAl 2020 22.9171 936.495248792509 1032.96083163011 0 50.664979099992 457.381261426332 0 22.5974031178957 59.0523579675299
504100 2 FaSy 2006 12.8102 1869.5611308 510.93398622 0 272.235122181 1869.5611308 0 130.86907133 363.158685442
504100 2 FaSy 2007 13.6425 1851.55849734 514.065664122 0 318.16448643 1851.55849734 0 129.608804478 417.299161447
504100 2 FaSy 2008 14.4748 1822.4547561 513.98032653 0 364.122512325 1822.4547561 0 127.572191505 470.273433399
504100 2 FaSy 2009 15.3071 1780.4919216 509.961302928 0 408.53786904 1780.4919216 0 124.634434512 520.2562080464
504100 2 FaSy 2010 15.9712 1813.83960105 529.423610826 0 437.297333673 1813.83960105 0 126.969163637 551.116228726
504100 2 FaSy 2011 16.544 1889.80762488 562.865347044 0 458.1731511 1889.80762488 0 132.28668516 572.584137048
504100 2 FaSy 2012 17.1168 1961.15543991 595.595062128 0 478.361299494 1961.15543991 0 137.280807688 593.060487509
504100 2 FaSy 2013 17.6895 2027.33306232 627.351841326 0 497.704640724 2027.33306232 0 141.913173358 612.398324706
504100 2 FaSy 2014 18.2623 2087.81033643 657.867109365 0 516.045736701 2087.81033643 0 146.147198841 630.42584976
504100 2 FaSy 2015 18.8351 2142.05474264 4246.494175248 1226.0241088 3296.59593848 2142.05474264 502.51729616 137.92729536 1284.000073344
504100 2 FaSy 2016 18.9 1801.97472576 4630.629942942 1394.146818 3590.760276354 1801.97472576 570.4835559 112.4869725 1268.01439357
504100 2 FaSy 2017 18.9 1411.94294274 4505.319975876 1394.146818 3493.590332412 1411.94294274 570.4835559 85.1847831 1150.20125596
504100 2 FaSy 2018 18.9 1021.91446401 4380.011070417 1394.146818 3396.421211679 1021.91446401 570.4835559 57.882825 1032.389116445
504100 2 FaSy 2019 18.9 631.88268099 4254.701103351 1394.146818 3299.251267737 631.88268099 570.4835559 30.5806356 914.575978835
504100 2 FaSy 2020 18.9 241.852550115 2590.09106515 864.4884285 2008.45159805 241.852550115 353.747845175 8.464828275 521.814759875
504100 3 PiAb 2016 1 35.48246429 1.30799257869 0 0.219729800388 53.223567628 0 3.5482335483 0.724010622265
504100 3 PiAb 2017 1 75.50219495 2.78324272695 0 0.46755721614 113.25301834 0 7.5501920865 1.540603006075
504100 3 PiAb 2018 1 115.52165014 4.25848272054 0 0.715382926008 173.282055848 0 11.5521230778 2.35718976899
504100 3 PiAb 2019 1 155.54110533 5.73372271413 0 0.963208635876 233.311093356 0 15.5540540691 3.173776531905
504100 3 PiAb 2020 1 195.56056052 7.20896270772 0 1.211034345744 293.340130864 0 19.5559850604 3.99036329482
504108 0 PiAb 2009 0 0 0 0 0 0 0 0 0
504108 0 PiAb 2010 0 0 0 0 0 0 0 0 0
504108 0 PiAb 2011 0 0 0 0 0 0 0 0 0
504108 0 PiAb 2012 0 0 0 0 0 0 0 0 0
504108 0 PiAb 2013 0 0 0 0 0 0 0 0 0
504108 0 PiAb 2014 0 0 0 0 0 0 0 0 0
504108 0 PiAb 2015 0 0 0 0 0 0 0 0 0
504108 1 PiAb 2005 32.9 6661.488 7083.91545 53392.5 13173.24405 4996.116 1355.8065 291.4401 6872.08005
504108 1 PiAb 2006 32.9 5828.802 6888.9453 53392.5 12810.6777 3747.087 1355.8065 208.1715 6474.5217
504108 1 PiAb 2007 32.9 4996.116 6693.97515 53392.5 12448.11135 2498.058 1355.8065 124.9029 6076.96335
504108 1 PiAb 2008 32.9 4163.43 6499.005 53392.5 12085.545 1249.029 1355.8065 41.6343 5679.405
504108 2 PiAb 2016 1.9 157.2007034 11.5785326724 0 0.80825976264 235.8010551 0 15.72007034 2.14921343728
504108 2 PiAb 2017 1.9 314.4014068 23.1570653448 0 1.61651952528 471.6021102 0 31.44014068 4.29842687456
504108 2 PiAb 2018 1.9 471.6021102 34.7355980172 0 2.42477928792 707.4031653 0 47.16021102 6.44764031184
504108 2 PiAb 2019 1.9 628.8028136 46.3141306896 0 3.23303905056 943.2042204 0 62.88028136 8.59685374912
504108 2 PiAb 2020 1.9 786.003517 57.892663362 0 4.0412988132 1179.0052755 0 78.6003517 10.7460671864
