plotId year d a w e n
504100 2006 0 1.05591897230424 0.272670281820447 0.150155663717684 0.637830091343634
504100 2006 4 0.254529960230325 0.011747536626015 0 0.12530705734416
504100 2007 0 1.06448332489622 0.270909203853565 0.14870976100733 0.640910190545388
504100 2007 4 0.2704747989294 0.01248345225828 0 0.13315682408832
504100 2008 0 1.06709980674758 0.267543963141815 0.146372290103754 0.640361508558849
504100 2008 4 0.285383422627875 0.013171542582825 0 0.1404964542168
504100 2009 0 1.06229285721858 0.26229578519671 0.143001989175226 0.635346611288682
504100 2009 5 0.2985122308896 0.01377748757952 0 0.14695986751488
504100 2010 0 1.75884527648756 0.822424959418859 0.483418331260686 1.01733098512819
504100 2010 5 0.503339150027882 0.0158519201893829 0.00135110602189791 0.230337288346123
504100 2011 0 1.79049056345513 0.817852506874272 0.479947571749944 1.03613394047109
504100 2011 5 0.522075682009159 0.0166744215443911 0.00135884407223114 0.239461427747984
504100 2012 0 1.83427715126439 0.824873223677772 0.483572796799667 1.0614423058432
504100 2012 5 0.544502666259879 0.0175055372009924 0.00139619177666235 0.250019757352612
504100 2013 0 1.89010857675911 0.843282225028074 0.494175381888096 1.0931303421592
504100 2013 5 0.36564335666625 0.01687584723075 0 0.180009037128
504100 2013 6 0.20523329241662 0.00146595208869015 0.00146595208869015 0.0820933169666481
504100 2014 0 1.95792287333131 0.87290386538608 0.511654592667982 1.13109231586906
504100 2014 5 0.38152167497145 0.01760869269099 0 0.18782605537056
504100 2014 6 0.21994183856785 0.0015710131326275 0.0015710131326275 0.0879767354271399
504100 2015 0 2.24182956882615 0.92232438000453 0.535465522802245 1.27537290368248
504100 2015 6 2.69151869091149 0.114860740305562 0.00171438859964206 1.30290017977644
504100 2015 15 0.39845783536 0.018390361632 0 0.196163857408
504100 2015 19 0.163318121252 0.0075377594424 0 0.0804027673856
504100 2016 0 2.20513319667294 1.02536586129606 0.599766900930455 1.25222238517051
504100 2016 6 3.36493353064213 0.128270722642089 0.00494986935264948 1.59261511883573
504100 2016 15 0.45309771585 0.02091220227 0 0.22306349088
504100 2016 19 0.1854071556675 0.0085572533385 0 0.091277368944
504100 2017 0 1.86809396829871 0.871807880995769 0.509216861852104 1.05654808992991
504100 2017 6 3.27911674407825 0.124837018152068 0.00485336352774752 1.55161400687994
504100 2017 15 0.45309771585 0.02091220227 0 0.22306349088
504100 2017 19 0.1854071556675 0.0085572533385 0 0.091277368944
504100 2018 0 1.49614538144432 0.683030267255917 0.397251911761891 0.840630445682901
504100 2018 6 2.5273404916812 0.11664648423144 0 1.24422916513536
504100 2018 7 0.589324127136351 0.00420945805097394 0.00420945805097394 0.23572965085454
504100 2018 15 0.45309771585 0.02091220227 0 0.22306349088
504100 2018 19 0.1854071556675 0.0085572533385 0 0.091277368944
504100 2019 0 1.12318868404987 0.493732387567692 0.284969266737718 0.624217115435355
504100 2019 6 2.4550345206036 0.11330928556632 0 1.20863237937408
504100 2019 7 0.489095311760006 0.0034935379411429 0.0034935379411429 0.195638124704002
504100 2019 15 0.45309771585 0.02091220227 0 0.22306349088
504100 2019 19 0.1854071556675 0.0085572533385 0 0.091277368944
504100 2020 0 0.663647252250448 0.302029953343864 0.173716184403271 0.365438294649314
504100 2020 6 1.49452636554 0.068978139948 0 0.735766826112
504100 2020 7 0.379269033755536 0.00270906452682526 0.00270906452682526 0.151707613502214
504100 2020 15 0.2809587392625 0.0129673264275 0 0.13831814856
504100 2020 19 0.114968049681875 0.005306217677625 0 0.056599655228
504108 2005 0 5.45889991443 0.80752203531 0.412052391615 2.697727333395
504108 2005 10 7.090005825 0.05064289875 0.05064289875 2.83600233
504108 2005 26 18.687375 0.13348125 0.13348125 7.47495
504108 2005 33 0.474532275 0.00338951625 0.00338951625 0.18981291
504108 2006 0 4.75475206035 0.663089649075 0.33939337515 2.339683406925
504108 2006 10 6.89486805 0.0492490575 0.0492490575 2.75794722
504108 2006 26 18.687375 0.13348125 0.13348125 7.47495
504108 2006 33 0.474532275 0.00338951625 0.00338951625 0.18981291
504108 2007 0 4.05060420627 0.51865726284 0.266734358685 1.981639480455
504108 2007 10 6.699730275 0.04785521625 0.04785521625 2.67989211
504108 2007 26 18.687375 0.13348125 0.13348125 7.47495
504108 2007 33 0.474532275 0.00338951625 0.00338951625 0.18981291
504108 2008 0 3.34645635219 0.374224876605 0.19407534222 1.623595553985
504108 2008 10 6.5045925 0.046461375 0.046461375 2.601837
504108 2008 26 18.687375 0.13348125 0.13348125 7.47495
504108 2008 33 0.474532275 0.00338951625 0.00338951625 0.18981291
504108 2009 0 0 0 0 0
504108 2010 0 0 0 0 0
504108 2011 0 0 0 0 0
504108 2012 0 0 0 0 0
504108 2013 0 0 0 0 0
504108 2014 0 0 0 0 0
504108 2015 0 0 0 0 0
504108 2016 0 0.10741761798105 0.0270847662012772 0.0135348515717142 0.0573875393174122
504108 2016 1 0.004335377352264 3.09669810876e-05 3.09669810876e-05 0.0017341509409056
504108 2017 0 0.2148352359621 0.0541695324025544 0.0270697031434284 0.114775078634824
504108 2017 1 0.008670754704528 6.19339621752e-05 6.19339621752e-05 0.0034683018818112
504108 2018 0 0.32225285394315 0.0812542986038316 0.0406045547151426 0.172162617952237
504108 2018 1 0.013006132056792 9.29009432628e-05 9.29009432628e-05 0.0052024528227168
504108 2019 0 0.4296704719242 0.108339064805109 0.0541394062868568 0.229550157269649
504108 2019 1 0.017341509409056 0.0001238679243504 0.0001238679243504 0.0069366037636224
504108 2020 0 0.53708808990525 0.135423831006386 0.067674257858571 0.286937696587061
